Input (Roman),Predicted (Devanagari),True (Devanagari),Match
westing,वेस्टिंग,वेस्टिंग,True
vaigyaanik,वैज्ञानिक,वैज्ञानिक,True
vaigyanik,वैज्ञानिक,वैज्ञानिक,True
vaigyaanikta,वैज्ञानिकतता,वैज्ञानिकता,False
vaigyanikata,वैज्ञानिकतता,वैज्ञानिकता,False
vaigyanikta,वैज्ञानिकिता,वैज्ञानिकता,False
vaitravati,वैत्रवती,वैत्रवती,True
vaitrawati,वैत्रवाती,वैत्रवती,False
vaishakh,वैशाख,वैशाख,True
vaishaakhi,वैशाखी,वैशाखी,True
vaishakhi,वैशाखी,वैशाखी,True
vyaktigat,व्यक्तितत,व्यक्तिगत,False
vyavadhan,व्यवधान,व्यवधान,True
vyavdhan,व्यवधान,व्यवधान,True
vyavahargat,व्यवाररागत,व्यवहारगत,False
vyaghat,व्याघाट,व्याघात,False
vyapak,व्यापक,व्यापक,True
vlad,व्लाड,व्लाद,False
shanivar,शनिवार,शनिवार,True
shbana,शब्ना,शबाना,False
shabdarth,शब्दार्थ,शब्दार्थ,True
sharabon,शराबों,शराबों,True
shaharwasiyon,शहरवासियों,शहरवासियों,True
shahrvasiyon,शहरवासियों,शहरवासियों,True
shaantikaal,शांतिकाल,शांतिकाल,True
shantikal,शांतिकाल,शांतिकाल,True
shaao,शाओ,शाओ,True
shaakhaaen,शाखाएं,शाखाएं,True
shakhayen,शखाएं,शाखाएं,False
shaavakon,शावकों,शावकों,True
shasak,शासक,शासक,True
shaasakon,शासकों,शासकों,True
sheershakon,शीर्षकों,शीर्षकों,True
shujaat,शुजात,शुजात,True
shujat,शुजत,शुजात,False
shubhankar,शुभंकर,शुभंकर,True
shumaali,शुमाली,शुमाली,True
shumali,शुमाली,शुमाली,True
sheling,शेलिंग,शेलिंग,True
shelling,शेलिंग,शेलिंग,True
shaili,शैली,शैली,True
shrimati,श्रीमती,श्रीमति,False
shriram,श्रीराम,श्रीराम,True
shrotaon,श्रोताओं,श्रोताओं,True
sankhyaein,संख्याएं,संख्याएं,True
sankhyaen,संख्याएं,संख्याएं,True
sankhyayen,संख्याएं,संख्याएं,True
sanchaari,संचारी,संचारी,True
sanchalanon,संचलनों,संचालनों,False
sanchalnon,संचलनों,संचालनों,False
sanjay,संजाय,संजय,False
sanjeevan,संजीवन,संजीवन,True
sanjivan,संजीवन,संजीवन,True
sandarbh,संदर्भ,संदर्भ,True
sandarbha,संदर्भा,संदर्भ,False
sandarbhon,संदर्भों,संदर्भों,True
sandali,संदली,संदली,True
samprati,संप्रति,संप्रति,True
samprti,संपृ्ति,संप्रति,False
samprabhu,संप्रभु,संप्रभु,True
samprabhuta,संप्रभूत,संप्रभुता,False
sambit,संबित,संबित,True
sambhalane,संभालने,संभालने,True
sambhalne,संभालने,संभालने,True
sanyukt,संयुक्त,संयुक्त,True
sanyukta,संयुक्त,संयुक्त,True
sanyojan,संयोजन,संयोजन,True
sanyojanon,संयोजनों,संयोजनों,True
sanyojnon,संयोजनों,संयोजनों,True
samvedikaran,सावेदिीकरण,संवेदीकरण,False
sanvedikaran,संवेदीकीरण,संवेदीकरण,False
sanskaar,संस्कर,संस्कार,False
sanskaari,संस्कारी,संस्कारी,True
sanskari,संस्करी,संस्कारी,False
sanskrit,संस्कृत,संस्कृत,True
sanskurt,संस्कृत,संस्कृत,True
sanskritiyan,संस्कृतियां,संस्कृतियां,True
sanskrutiyan,संस्कृतियां,संस्कृतियां,True
sanskritiyon,संस्कृतियों,संस्कृतियों,True
sanskrutiyon,संस्कृतियों,संस्कृतियों,True
sanasthit,सनस्थित,संस्थित,False
sansthit,संस्थित,संस्थित,True
sansthita,संस्थिता,संस्थिता,True
sataane,सताने,सताने,True
sate,सेट,सते,False
satti,सत्ती,सत्ती,True
satvat,सतवतत,सत्वत,False
sapane,सपने,सपने,True
sapne,सपने,सपने,True
sapney,सपने,सपने,True
saptari,सप्तरी,सप्तरी,True
sapramaan,सप्रमण,सप्रमाण,False
sabhaein,सभाएं,सभाएं,True
sabhaen,सभाएं,सभाएं,True
sabhayen,सभायें,सभाएं,False
sabhyata,सभ्यता,सभ्यता,True
samjhoonga,समझुंगा,समझूंगा,False
samadhiyon,समाधियों,समाधियों,True
samitiyan,समितियां,समितियां,True
sametati,समेटती,समेटती,True
sarkaa,सरका,सरका,True
sarkaaron,सरकारों,सरकारों,True
sarsaa,सरसा,सरसा,True
saraahi,सराही,सराही,True
salahkaar,सलाहकार,सलाहकार,True
salahkar,सालहकर,सलाहकार,False
saleeb,सलीब,सलीब,True
salib,साीबब,सलीब,False
sawaal,सवाल,सवाल,True
sahadev,सहादेव,सहदेव,False
sahdev,सहदेव,सहदेव,True
sagarika,सागरिका,सागरिका,True
saga,सागा,सागा,True
saajan,साजन,साजन,True
sathiya,साठिया,साथिया,False
saayn,सायन,सायं,False
sayara,सायर,सायरा,False
sayra,सायर,सायरा,False
salve,सैलव,साल्वे,False
singaar,सिंगार,सिंगार,True
singar,सिंगर,सिंगार,False
simate,सीमते,सिमटे,False
simi,सीमी,सिमी,False
siyasi,सियासी,सियासी,True
siyah,सियाह,सियाह,True
sirpur,सिरपुर,सिरपुर,True
cpm,सीपीएम,सीपीएम,True
cps,सीपीएस,सीपीएस,True
seem,सीम,सीम,True
sim,सीम,सीम,True
sugamata,सुगमता,सुगमता,True
sugmta,सुगमता,सुगमता,True
sujhaati,सुझाती,सुझाती,True
sujhati,सुझाती,सुझाती,True
sutli,सूतली,सुतली,False
sudip,सुदीप,सुदीप,True
sunaaron,सुनारों,सुनारों,True
sunaron,सुनारों,सुनारों,True
suneeti,सुनीती,सुनीति,False
sunega,सुनेगा,सुनेगा,True
suneyga,सुनेगा,सुनेगा,True
subhaay,सुभाय,सुभाय,True
subhay,सुभाय,सुभाय,True
surveen,सर्वीन,सुरवीन,False
suljayi,सुलजाईी,सुलझाई,False
suljhai,सुलझाई,सुलझाई,True
sulzai,सुलझाई,सुलझाई,True
sulaati,सुलाती,सुलाती,True
susanskrit,सुससंस्रित,सुसंस्कृत,False
susanskrut,सुससंस्रृत,सुसंस्कृत,False
sukhati,सूखती,सूखती,True
soochak,सूचक,सूचक,True
sooja,सूजा,सूजा,True
sooraj,सूरज,सूरज,True
suryadev,सूर्यदेव,सूर्यदेव,True
sendha,सेंधा,सेंधा,True
sensing,सेंसिंग,सेंसिंग,True
seth,सेठ,सेथ,False
semin,सेमिन,सेमिन,True
self,सेल्फ,सेल्फ,True
selfie,सेलफाइ,सेल्फी,False
sev,सेव,सेव,True
sevakon,सेवकों,सेवकों,True
sevkon,सेवकों,सेवकों,True
sochane,सोचने,सोचने,True
sochne,सोचने,सोचने,True
sonu,सोनू,सोनू,True
soma,सोमा,सोमा,True
somi,सोमी,सोमी,True
soya,सोया,सोया,True
soharai,सोहराई,सोहराई,True
sohrai,सोहराई,सोहराई,True
scala,स्केला,स्काला,False
scootaron,स्कूटरों,स्कूटरों,True
scooteron,स्कूटरों,स्कूटरों,True
squash,स्क्वाफ,स्क्वाश,False
skhalan,स्खलन,स्खलन,True
stop,स्टोप,स्टॉप,False
stops,स्टोप्स,स्टॉप्स,False
stone,स्टोन,स्टोन,True
stray,स्ट्रे,स्ट्रे,True
stre,स्ट्र,स्ट्रे,False
sthitiyaan,स्थितियां,स्थितियां,True
sthitiyan,स्थितियां,स्थितियां,True
sthitiyon,स्थितियों,स्थितियों,True
sthool,स्थुल,स्थूल,False
sthoolta,स्थुलता,स्थूलता,False
sneakers,स्नेकर्स,स्नीकर्स,False
spear,स्पीयर,स्पीयर,True
spell,स्पेल,स्पेल,True
spelar,स्पेलर,स्पेलर,True
speller,स्पेलर,स्पेलर,True
slide,स्लाइड,स्लाइड,True
slaaidon,स्लाइडों,स्लाइडों,True
slice,स्लाइस,स्लाइस,True
swa,स्वा,स्वा,True
swaachaalit,स्वचालित,स्वाचालित,False
swiftlate,स्विट्ाइटट,स्विफ्टलेट,False
sweep,स्वीप,स्वीप,True
swecha,स्वेच्छा,स्वेच्छा,True
sweta,स्वेता,स्वेता,True
handiyaa,हंडिया,हंडिया,True
hakikat,हकीकत,हकीकत,True
haqeeqat,हकीकत,हकीकत,True
hathiya,हथिया,हथिया,True
hamla,हमला,हमला,True
humlavar,हमललवार,हमलावर,False
hamaal,हमाल,हमाल,True
hamal,हमल,हमाल,False
hardas,हरदास,हरदास,True
harpaal,हरपाल,हरपाल,True
haraval,हरावल,हरावल,True
harawal,हरावल,हरावल,True
harijan,हरीजन,हरिजन,False
hariyali,हरियाली,हरियाली,True
halla,हल्ला,हल्ला,True
hawamahal,हवामहल,हवामहल,True
hasinon,हासिनों,हसीनों,False
haani,हानी,हानी,True
hani,हानी,हानी,True
haarjeet,हारीत,हारजीत,False
haalchaal,हालचाल,हालचाल,True
haalchal,हालचाल,हालचाल,True
hingis,हिंगिस,हिंगिस,True
hijada,हिजड़ा,हिजड़ा,True
hijda,हिजडा,हिजड़ा,False
hijbul,हिजबूल,हिजबुल,False
hippo,हिप्पो,हिप्पो,True
himali,हिमाली,हिमाली,True
heroes,हीरोज,हीरोज,True
hegde,हेग्ड,हेगडे,False
help,हेल्प,हेल्प,True
hairam,हैराम,हैरम,False
holding,होल्डिंग,होल्डिंग,True
